"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"70451","70451","Dhrs13",-0.00592843496914781,0.0447161278045277,0.894526067899818,0.974135491093339
"67529","67529","Fgfr1op2",-0.028340823565496,0.0193044683328412,0.142077995693525,0.70433821913717
"217351","217351","Tnrc6c",-0.0312812768315812,0.0353470067501211,0.376169206678402,0.796970682536934
"78100","78100","Msantd4",-0.0115057347291656,0.00948475286900981,0.225100415945285,0.744483539845162
"83997","83997","Slmap",-0.0261641001139108,0.0152445938888344,0.086109504861314,0.672075878022376
"22259","22259","Nr1h3",0.0266984385198008,0.0537500474738961,0.619390257160397,0.88654360824203
"269523","269523","Vcp",0.0182810544405098,0.0271272296859429,0.500374555672915,0.844029131062521
"56457","56457","Clptm1",0.00434475630882505,0.0233961030909335,0.852676677467611,0.964088405636579
"17701","17701","Msx1",-0.0341475108073142,0.0510362154131868,0.503441950087035,0.844432003145022
"71955","71955","Ist1",0.0708591878763975,0.0565815217436636,0.210446740014915,0.738564696947298
"218343","218343","Ttc37",-0.00757607571718989,0.0263269751447169,0.773523905555933,0.939259776837032
"380928","380928","Lmo7",-0.00167975232205535,0.039674319706372,0.966228831378065,0.99208918015257
"52504","52504","Cenpo",0.00220797801937578,0.0102673915898533,0.829730199602794,0.957219275721848
"320696","320696","Ccdc158",0.0388064421444164,0.0488275668459574,0.426750202274107,0.816400943811951
"140481","140481","Man2a2",0.0566103925536314,0.0349875741438512,0.10565953276114,0.688912381210683
"387524","387524","Znrf2",0.00937721528029445,0.0449472270141661,0.834739255096864,0.958288822430161
"18676","18676","Phf2",0.028543343371725,0.0331321958808409,0.388963441961023,0.801475873884558
"227620","227620","Uap1l1",0.062745730326677,0.028835028000969,0.0295534210142699,0.60590838423518
"218975","218975","Mapk1ip1l",-0.00484676529556431,0.0160619787003235,0.762839648452477,0.936282554552582
"105782","105782","Scrib",0.0155483988174051,0.0411435917280511,0.705500630141975,0.916537617372614
"97761","97761","Sgsm2",0.0583805116964904,0.0339608315805342,0.0856044950656095,0.67175794715908
"64074","64074","Smoc2",-0.00632644347658417,0.0805278680546384,0.937380884225407,0.983529425091252
"99151","99151","Cercam",0.0604834051141129,0.0887827202206927,0.495712054122105,0.842461611177098
"109095","109095","Rbm15b",-0.0197237548319875,0.0162332648613489,0.224358149564331,0.744483539845162
"217882","217882","Cep170b",0.020068070127545,0.0312396159975441,0.520618885392749,0.852294825354621
"19025","19025","Ctsa",0.0515258322047035,0.0400782229429674,0.198571642777007,0.73777031242121
"56279","56279","Dipk1b",-0.069594751292919,0.0266795692102977,0.00909291067140707,0.472050427864519
"52700","52700","Txndc17",-0.026760163914335,0.0171824779882968,0.119373161409934,0.694014072041278
"19344","19344","Rab5b",0.031809727369012,0.0461086019251477,0.490265220128891,0.840492613635874
"98845","98845","Eps8l2",-0.0208147500847516,0.0246000841397257,0.397482927355342,0.803143747992731
"18166","18166","Npy1r",0.0277883746332167,0.0516986668868888,0.590917727597924,0.877192329024185
"19668","19668","Rbpjl",-0.0127671317653798,0.0244727535891551,0.601887868778062,0.881002924647161
"53317","53317","Plrg1",-0.0322621400272707,0.0169246626369612,0.0566215947737183,0.631218181153928
"71810","71810","Ranbp3",0.0185321407626969,0.0217229079926474,0.393595480051496,0.803008905158851
"19707","19707","Reps1",0.0204549789546853,0.0231279194451633,0.376465227179007,0.796970682536934
"23996","23996","Psmc4",-0.0170450910128915,0.0368976437372558,0.644112813707966,0.896709129426029
"70110","70110","Ifi35",0.0467185697625155,0.0296050385035333,0.114551495087597,0.69330707799551
"22242","22242","Umod",0.041638539797265,0.0837395929401003,0.619020957207305,0.88644136800443
"216439","216439","Agap2",-0.0435851594274783,0.050491792017334,0.388020496253408,0.801415611253094
"329251","329251","Ppp1r12b",-0.00800448158876279,0.0232827160798948,0.731000453800137,0.923975373196778
"16341","16341","Eif3e",0.0833103651770252,0.0659293815660037,0.206362747575251,0.738564696947298
"233011","233011","Itpkc",0.016006256911149,0.0527732376547961,0.761659312306476,0.936075396195696
"18782","18782","Pla2g2d",0.249139899976999,0.16970286838999,0.142078471731046,0.70433821913717
"74385","74385","Ap5m1",-0.0693934265923838,0.0553154830050177,0.209659319952622,0.738564696947298
"11808","11808","Apoa4",-0.0477688576793926,0.189334116493516,0.800809759276014,0.94965929492771
"27224","27224","Eloa",0.00657027097951716,0.00620911316791973,0.289979876553694,0.765467543230791
"225870","225870","Rin1",-0.0306098913074604,0.0759028307737597,0.686744213446897,0.910883848399255
"23805","23805","Apc2",-0.019994194369868,0.0453174874876091,0.65906631410542,0.902462130760176
"75619","75619","Fastkd2",-0.0574688589534483,0.0259997439427257,0.027080014366497,0.603786781350996
"218294","218294","Cdc14b",0.00209544693423865,0.0200395026951885,0.916720341524766,0.978347701178895
"50527","50527","Ero1l",-0.0211801629885323,0.0491889121024413,0.66676785418647,0.905834278428084
"69723","69723","Rpain",-0.0621130154515878,0.0276340496732873,0.0245954137550179,0.601315289545863
"12417","12417","Cbx3",-0.0254072001284911,0.0311117679934761,0.4141326104574,0.810261437141741
"66179","66179","Ogfod3",-0.0153645125454232,0.0355985040989316,0.666028111669344,0.905209912281823
"64177","64177","Trpv6",-0.0390528182937177,0.0423543435465535,0.356502547113861,0.791440782273322
"209446","209446","Tfe3",0.0253393236789175,0.0243689572651358,0.298423639611663,0.770132823425773
"70561","70561","Txndc16",-0.0162832808620648,0.0373957121569055,0.663249059396558,0.904425464949718
"226252","226252","Fam160b1",-0.0209754475248017,0.0140138062294591,0.134453063351327,0.697036173923614
"207781","207781","C2cd2",-0.00114510187732951,0.0644045791269577,0.985814502863417,0.996114057370945
"66155","66155","Ufc1",-0.0320675267759771,0.0197268354624802,0.104039274552947,0.688154029212567
"66592","66592","Stoml2",-0.0513210604647126,0.0386624869150346,0.184372334952836,0.732792038032776
"59015","59015","Nup160",-0.00776742674931006,0.0215490136869376,0.718507700113859,0.91951909576574
"66910","66910","Tmem107",0.0380144907625429,0.0322019716460147,0.237800629906304,0.746841256561389
"66072","66072","Sdhaf2",-0.0193673514732036,0.0174819572594786,0.267927463992624,0.757038250563664
"211945","211945","Plekhh1",0.00738814563288097,0.0384135414624358,0.847482309363985,0.962456393870103
"98496","98496","Pid1",0.0832585348947012,0.0591306632464962,0.159118245374312,0.715128118449718
"503610","503610","Zdhhc18",0.0799112857213,0.0304974932751502,0.0087863392912194,0.472050427864519
"320394","320394","Cenpt",-0.000656075301713541,0.0671667352557852,0.992206498828502,0.998016482696839
"67680","67680","Sdhb",-0.074733992159109,0.0344490138594333,0.030051665118823,0.60590838423518
