,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
alpha-estradiol-122,alpha-estradiol-122,0.0205,0.13592391304347826,-1.3118722130520175,100.0,0.0,neg,pos
alpha-estradiol-1635,alpha-estradiol-1635,0.131,0.43078167115902966,-1.0658819490065976,100.0,0.0,neg,pos
alpha-estradiol-2670,alpha-estradiol-2670,0.676,0.9346561418685122,-0.20173502181924724,95.77464788732394,98.59154929577466,neg,neg
alpha-estradiol-403,alpha-estradiol-403,0.9815,0.993905472636816,-0.007886623853356256,0.0,1.4492753623188406,pos,pos
alpha-estradiol-4434,alpha-estradiol-4434,0.0135,0.10557692307692308,-1.3611260126721425,97.10144927536231,0.0,neg,pos
alpha-estradiol-5207,alpha-estradiol-5207,0.176,0.5073724007561436,1.0026049877621093,0.0,98.27586206896551,pos,neg
alpha-estradiol-5570,alpha-estradiol-5570,0.8275,0.9563755210306935,0.08600576869809073,97.14285714285714,100.0,neg,neg
alpha-estradiol-6169,alpha-estradiol-6169,0.7185,0.9377127659574469,-0.16256948292926432,95.52238805970148,100.0,neg,neg
alpha-estradiol-6930,alpha-estradiol-6930,0.5195,0.915288279773157,-0.4988246847624966,100.0,98.24561403508771,neg,neg
alpha-estradiol-6970,alpha-estradiol-6970,0.366,0.8277119585338764,-0.8419814224564874,100.0,0.0,neg,pos
alpha-estradiol-702,alpha-estradiol-702,0.4895,0.915288279773157,-0.660919180045084,100.0,0.0,neg,pos
alpha-estradiol-762,alpha-estradiol-762,0.6225,0.915288279773157,-0.247608785986293,100.0,97.01492537313433,neg,neg
alpha-estradiol-990,alpha-estradiol-990,0.6605,0.9324346216153668,-0.21135108673464265,100.0,98.66666666666667,neg,neg
alpha-yohimbine-2778,alpha-yohimbine-2778,0.05,0.23828125,-1.2079084290891557,100.0,0.0,neg,pos
alpha-yohimbine-5800,alpha-yohimbine-5800,0.5305,0.915288279773157,0.42770219022587364,100.0,100.0,neg,neg
alpha-yohimbine-6274,alpha-yohimbine-6274,0.5465,0.915288279773157,-0.38421514644901655,98.4126984126984,97.01492537313433,neg,neg
alprenolol-1571,alprenolol-1571,0.7415,0.9426814140996487,-0.1483626827213031,100.0,100.0,neg,neg
