,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
gelsemine-4177,gelsemine-4177,0.0036,0.03234848484848484,1.6160275959652446,1.25,97.40259740259741,pos,neg
gemfibrozil-1430,gemfibrozil-1430,0.2742,0.6846582071223904,0.9090116251944055,0.0,100.0,pos,neg
gemfibrozil-2113,gemfibrozil-2113,0.7576,0.9448701696994479,0.12715593304469608,98.73417721518987,98.61111111111111,neg,neg
gemfibrozil-2277,gemfibrozil-2277,0.0074,0.04620266120777892,-1.500155741969428,98.86363636363636,1.1904761904761905,neg,pos
gemfibrozil-5069,gemfibrozil-5069,0.5824,0.9243036178765666,-0.2832575679206881,0.0,1.3513513513513513,pos,pos
gemfibrozil-5488,gemfibrozil-5488,0.5614,0.9243036178765666,-0.31689626319857545,97.67441860465115,100.0,neg,neg
genistein-1015,genistein-1015,0.5912,0.9243036178765666,0.2701827670540997,98.78048780487805,100.0,neg,neg
genistein-1073,genistein-1073,0.7742,0.9510660509937763,0.11786355202296905,100.0,100.0,neg,neg
genistein-1176,genistein-1176,0.8338,0.9644532428355957,-0.08562993609457004,100.0,100.0,neg,neg
genistein-1235,genistein-1235,0.0116,0.062015775635407534,1.4451648026628352,0.0,98.82352941176471,pos,neg
genistein-1660,genistein-1660,0.5164,0.9243036178765666,-0.44007075807708695,100.0,97.5,neg,neg
genistein-267,genistein-267,0.0816,0.24641584158415844,-1.159398500649723,100.0,0.0,neg,pos
genistein-268,genistein-268,0.5242,0.9243036178765666,-0.40575319239735974,100.0,100.0,neg,neg
genistein-2695,genistein-2695,0.8534,0.9703615355944839,-0.07521118685870765,100.0,97.59036144578313,neg,neg
genistein-382,genistein-382,0.674,0.9302465505541733,-0.18164373356241292,100.0,98.75,neg,neg
genistein-4459,genistein-4459,0.5968,0.9243036178765666,-0.2620232452629657,100.0,98.83720930232558,neg,neg
genistein-5232,genistein-5232,0.6494,0.9264018691588785,-0.20226716240468723,100.0,98.76543209876543,neg,neg
genistein-5595,genistein-5595,0.0264,0.10947654656696125,-1.3376657584716742,100.0,0.0,neg,pos
genistein-6194,genistein-6194,0.0156,0.07451840250587313,1.4046097217745883,1.1363636363636365,98.73417721518987,pos,neg
genistein-638,genistein-638,0.553,0.9243036178765666,-0.3318869859311844,0.0,0.0,pos,pos
genistein-6952,genistein-6952,0.5126,0.9243036178765666,-0.47047897850003684,98.85057471264368,100.0,neg,neg
genistein-6994,genistein-6994,0.9614,0.9937626092804304,0.020360924966243088,97.61904761904762,98.75,neg,neg
genistein-703,genistein-703,0.9506,0.992906757912746,0.026047914242574244,0.0,0.0,pos,pos
gentamicin-2082,gentamicin-2082,0.5118,0.9243036178765666,0.474249328186453,98.80952380952381,98.78048780487805,neg,neg
gentamicin-2245,gentamicin-2245,0.0472,0.16368391131324617,-1.2535183009436712,100.0,0.0,neg,pos
gentamicin-5883,gentamicin-5883,0.76,0.9460970636215336,0.12638430466474926,0.0,0.0,pos,pos
gentamicin-7237,gentamicin-7237,0.1138,0.3210823311748381,-1.104183772455717,100.0,0.0,neg,pos
gibberellic acid-2910,gibberellic acid-2910,0.6042,0.9243036178765666,-0.25015630670233546,97.59036144578313,100.0,neg,neg
gibberellic acid-4234,gibberellic acid-4234,0.0426,0.15196491228070175,1.2676883321676289,0.0,98.71794871794873,pos,neg
gibberellic acid-4818,gibberellic acid-4818,0.5066,0.9243036178765666,-0.5272941033924277,98.83720930232558,100.0,neg,neg
gibberellic acid-7330,gibberellic acid-7330,0.819,0.9644532428355957,0.09468636521469631,98.78048780487805,100.0,neg,neg
ginkgolide A-1324,ginkgolide A-1324,0.6842,0.9334538959589195,0.17490053372820913,98.82352941176471,100.0,neg,neg
ginkgolide A-3260,ginkgolide A-3260,0.0042,0.03234848484848484,-1.5633070350886427,98.83720930232558,0.0,neg,pos
ginkgolide A-4002,ginkgolide A-4002,0.4908,0.9243036178765666,0.6178127569036842,98.78048780487805,98.7012987012987,neg,neg
ginkgolide A-4121,ginkgolide A-4121,0.602,0.9243036178765666,0.253456063899542,100.0,100.0,neg,neg
glafenine-2387,glafenine-2387,0.538,0.9243036178765666,-0.36085667248878317,100.0,100.0,neg,neg
glafenine-7018,glafenine-7018,0.5326,0.9243036178765666,-0.37504414017898524,100.0,100.0,neg,neg
glafenine-7257,glafenine-7257,0.0076,0.04711382113821138,1.4955626021495982,0.0,98.80952380952381,pos,neg
glafenine-7418,glafenine-7418,0.9152,0.9903354771423606,0.0446718375337708,98.80952380952381,100.0,neg,neg
glibenclamide-1546,glibenclamide-1546,0.5212,0.9243036178765666,0.4151514469140303,100.0,100.0,neg,neg
glibenclamide-3163,glibenclamide-3163,0.817,0.9644532428355957,-0.09549226155364354,97.5609756097561,97.43589743589743,neg,neg
glibenclamide-5849,glibenclamide-5849,0.0122,0.06432152117545377,1.4403412363571095,0.0,100.0,pos,neg
glibenclamide-7202,glibenclamide-7202,0.9262,0.9903354771423606,-0.03868866134128002,100.0,100.0,neg,neg
gliclazide-1720,gliclazide-1720,0.062,0.20063660477453582,1.2054212323187143,0.0,100.0,pos,neg
gliclazide-2870,gliclazide-2870,0.0428,0.15214452214452212,-1.2666090544391215,100.0,0.0,neg,pos
