"","coef","pval","se","AIC","BIC","FDR.coef"
"11632",0.306361483128395,0.376005597560378,0.271286317738977,7.32515671244732,4.71145107356721,0.67705979589528
"11636",-0.614525665483299,0.613157566677756,1.03583487318106,11.998511433065,9.38480579418487,0.809328271479189
"11637",-0.820140997208377,0.187837451458675,0.416600929114758,8.23468355728706,5.62097791840695,0.581855812549782
"11639",0.135623629454479,0.900256600292329,0.95667634778926,11.7279694151471,9.11426377626695,0.958030548682679
"11640",-0.669386820419017,0.130248458810627,0.268562393590126,6.40039898673227,3.78669334785217,0.552856573140526
"11647",0.353524225070882,0.304956338688318,0.258583834485242,8.7543514652241,6.14064582634399,0.636423406640388
"11651",-0.865370578848552,0.0397513646250156,0.17788323972954,5.19374755566403,2.58004191678392,0.538427619969019
"11652",0.117357088377154,0.823675486865889,0.46325837479002,8.98068817032083,6.36698253144072,0.922038198832615
"11655",-0.6286784279806,0.313153527643188,0.47040325850174,8.76834889711541,6.1546432582353,0.641752344967443
"11658",-0.764420454050748,0.595123023988988,1.22072192410687,12.7127782041145,10.0990725652344,0.799989953284284
"11666",0.954864683544758,0.321654559619006,0.73132674399552,10.7375514931756,8.12384585429545,0.647433851578169
"11669",0.48977310627551,0.233150240817978,0.289859404561572,7.18419799203592,4.57049235315581,0.603844803288444
"11671",0.818150138708298,0.202542382861076,0.437721306430181,8.49347866596069,5.87977302708059,0.590182744332792
"11674",-1.20123055311018,0.153681416848539,0.534615435141208,9.20818862607554,6.59448298719543,0.564351880829074
"11676",0.695343457792229,0.569886765636459,1.03200325694603,12.0340164432255,9.42031080434537,0.787968487747062
"11690",-0.0728212265786188,0.912731878240787,0.587796911792187,10.2982571728323,7.68455153395217,0.96408504812516
"11692",-0.662237566050595,0.0534351616567691,0.159549867586747,4.29348670922354,1.67978107034343,0.538427619969019
"11694",-0.527030122177866,0.386159810298216,0.47926853780178,10.4716890947492,7.85798345586907,0.682043610547072
"11695",-0.209104971243323,0.365445776945547,0.18009089692044,7.76992914995777,5.15622351107766,0.670956324870997
"11717",-0.527102736253601,0.165795431248102,0.24638704764844,5.42174870194375,2.80804306306364,0.572531356295882
"11732",-1.23870867064285,0.241660243917078,0.752912240468631,10.8852220566338,8.27151641775367,0.609977670141172
"11733",-0.575258047135907,0.215811177038153,0.321872913158114,7.88784254872011,5.27413690984,0.595272866397505
"11735",0.973129481987242,0.141122815316304,0.41034441848005,8.60973491990672,5.99602928102661,0.562555496188588
"11736",0.109169193151748,0.724674463242624,0.269538380656515,6.43623033404313,3.82252469516302,0.870336684119549
"11737",0.382566434324854,0.682238812698088,0.807193364560224,10.9935646244156,8.37985898553545,0.846932803378416
"11739",-0.129954794374968,0.5983558861015,0.209524380089371,6.17903042086768,3.56532478198757,0.800939756354005
"11740",-1.37790907576821,0.0936332994160677,0.454171634547295,8.5096056169672,5.89589997808709,0.538427619969019
"11745",-2.59838875325113,0.108334866092308,0.932810873550743,11.629919601959,9.01621396307888,0.541634832622713
"11746",0.373434068266261,0.20729171705206,0.203063248261442,5.43930858464211,2.825602945762,0.591089624296512
"11747",-0.857362922989951,0.0248540713278098,0.137745827621526,4.86236856679435,2.24866292791424,0.538427619969019
"11749",-0.364933282315746,0.451101024346466,0.392965576427771,7.97789468544396,5.36418904656385,0.716759298508515
"11750",-0.564644950395892,0.0674271370319772,0.154547852742294,4.53635283563936,1.92264719675926,0.538427619969019
"11752",-0.594944673210508,0.414684018945877,0.582757362331127,9.49021633854522,6.87651069966511,0.695459656773814
"11757",-0.697629499271617,0.075370825793254,0.203197057885846,4.56714670014631,1.9534410612662,0.538427619969019
"11758",-1.33541618080131,0.0743838771302676,0.386095720603433,7.88556564639198,5.27186000751187,0.538427619969019
"11761",1.10124133404652,0.0354009571631237,0.212894845041603,7.00040834980035,4.38670271092024,0.538427619969019
"11764",-0.213432059652811,0.619280177070647,0.366551952431088,7.77636760607873,5.16266196719862,0.81240384710527
"11765",-0.364273980148841,0.579256087788504,0.55537780229745,9.59428287446165,6.98057723558154,0.792539038530161
"11766",-0.559392864868055,0.30555744573803,0.409850490621788,8.1449731460722,5.53126750719209,0.636423406640388
"11767",-0.857036047925315,0.0856931435824787,0.268454649226967,6.48930604687306,3.87560040799296,0.538427619969019
"11769",-1.12372009500485,0.0746487639398691,0.325538857153264,7.21585789388084,4.60215225500073,0.538427619969019
"11771",-0.854590173396255,0.039940780808644,0.176111512235903,4.47899416191347,1.86528852303336,0.538427619969019
"11772",-0.340917977452179,0.132360918696546,0.138140862302095,3.97212755385402,1.35842191497391,0.552856573140526
"11773",-0.322899556865442,0.1848893673797,0.162271933741184,4.46594867254814,1.85224303366803,0.579662660501503
"11774",-0.388714231612769,0.147146505994043,0.168281559461084,5.55997182226972,2.94626618338961,0.563775946615642
"11776",-0.433719889710581,0.0961489984236354,0.145173169242759,3.55017068556658,0.936465046686472,0.538495189596124
"11777",0.694598601511622,0.256763729818666,0.442116757341576,8.74671782348759,6.13301218460748,0.619859004237811
"11778",-0.567149642013893,0.407902238847617,0.545823406899318,9.37063064641031,6.7569250075302,0.691816572494858
"11781",0.223336861417049,0.4532926059045,0.241871034129279,5.27462949198494,2.66092385310483,0.718051167313836
"11783",0.00553603264598184,0.979337401528687,0.18941134111418,6.56121097780248,3.94750533892237,0.992806084068339
"11785",0.348596935259415,0.656711963885483,0.674406793105446,10.3613133032033,7.74760766432323,0.833479208858528
"11787",0.303374822230068,0.621499250700537,0.524591925157284,9.07350732076562,6.45980168188552,0.813988443270708
"11789",0.607955590883137,0.618563568256781,1.0418190856526,12.1424327205029,9.52872708162282,0.812043102542279
