"","logFC","P.Value","SE","AIC","BIC","FDR","symbol","Entrez"
"16509",-0.182993663590459,0.0147987603365958,0.0622538202670697,5.3261366677225,6.23389194670464,0.0263110618253954,"Kcne1","16509"
"12385",0.19520876881273,0.00236456411443678,0.0483295213960211,-2.22293652641668,-1.31518124743455,0.00560281776949275,"Ctnna1","12385"
"231872",-0.1746655898805,0.00555013183331783,0.0496387367697736,1.07246630345055,1.98022158243269,0.0114572066385157,"Aimp2","231872"
"67216",-0.746058061646179,0.000323511128631253,0.139444877598366,19.9940451634973,20.9018004424794,0.00106438503740261,"Mboat2","67216"
"226744",-0.0883272889091764,0.197814160718905,0.0640298035661698,4.17389999200739,5.08165527098952,0.248262721308802,"Cnst","226744"
"17245",0.00667910410509405,0.960851373515465,0.132709080762776,18.3685303754838,19.276285654466,0.967487308280133,"Mdm1","17245"
"16000",-0.787338461612955,0.00967242032647701,0.246900786426722,30.1244003780829,31.0321556570651,0.0183199183550944,"Igf1","16000"
"17984",-0.263341890746507,0.133328276199561,0.161174187255284,24.5457429822538,25.453498261236,0.176386298271662,"Ndn","17984"
"69253",1.23490830409926,0.025404578046474,0.470546452254332,43.3266642882226,44.2344195672048,0.0419494353391,"Hspb2","69253"
"83602",0.0345525277414357,0.59729566346794,0.063328640089758,3.33102323709579,4.23877851607793,0.645115567978003,"Gtf2a1","83602"
"107368",-0.423701141472365,7.46712999842662e-05,0.0658189705008539,5.59729549014735,6.50505076912948,0.000313967130336902,"Pdzd8","107368"
"72354",-0.0765693011587089,0.59188541719853,0.138262758086011,8.9421664977018,9.84992177668394,0.640186399134735,"Ttc4","72354"
"234723",-0.65395658564769,0.00149917192107062,0.151172435411277,9.91382119758904,10.8215764765712,0.00381765139244016,"Txnl4b","234723"
"19353",-0.151362484696437,0.019678951749148,0.0545804487114296,-0.213200136152871,0.694555142829267,0.0336634146333673,"Rac1","19353"
"14977",-0.467352452215473,0.0360761571561234,0.193139679764972,25.240400332397,26.1481556113791,0.056947244683831,"Slc39a7","14977"
"380912",-0.314378112637622,0.161860975299631,0.20813460881301,27.1507735428582,28.0585288218403,0.208747699254059,"Zfp395","380912"
"83410",0.261880523736536,0.0340537564396913,0.106737939749486,13.5791351417209,14.4868904207031,0.0542002507795218,"Cstf2t","83410"
"29870",0.60508804364807,6.16735680133839e-06,0.0702973786941671,27.9526248687731,28.8603801477552,4.19548447768812e-05,"Gtse1","29870"
"14585",-0.441532098779854,0.0552463012312536,0.203547806383845,28.1193934856644,29.0271487646465,0.0822104637480816,"Gfra1","14585"
"77627",-0.261509463335095,0.0127019024304222,0.0863393224312663,6.31459886096791,7.22235413995005,0.0230754723480768,"Efcab6","77627"
"320707",-0.189556506946146,0.128461591079245,0.114379519022485,1.03281015290058,1.94056543188272,0.170844456934822,"Atp2b3","320707"
"94242",-0.248553599058576,0.133431819471992,0.152168766855823,13.978574927867,14.8863302068492,0.176503984196609,"Tinagl1","94242"
"235330",-0.484814565467454,0.0377795249883389,0.202616581453121,26.3507431623061,27.2584984412882,0.0592803464579732,"Ttc12","235330"
"69674",0.0448938217990318,0.86585903483083,0.259024823091263,31.5291399191041,32.4368951980863,0.885993588744112,"Mif4gd","69674"
"68393",0.607048329409138,1.47648234753732e-05,0.0778733276936454,7.62083698412659,8.52859226310873,8.36020195243565e-05,"Mogat1","68393"
"100037258",-0.320336845193279,0.00170611393431319,0.0754833086887614,7.32259855371526,8.2303538326974,0.00424546261960188,"Dnajc3","100037258"
"59092",-0.638527885602059,0.017569486079782,0.22488923188745,23.0563947784016,23.9641500573837,0.0305028395018038,"Pcbp4","59092"
"76108",-0.215191139128258,0.0108710671864335,0.0689680438328654,-0.376165185314447,0.531590093667691,0.0202323568168305,"Rap2a","76108"
"239510",-0.78055526926018,2.48281737495479e-07,0.0639319199612148,5.10339238781319,6.01114766679533,3.93768978431558e-06,"Phf20l1","239510"
"23970",0.254858218138609,3.64052096364017e-05,0.0363204346342364,-12.379568278137,-11.4718129991548,0.000174126261585019,"Pacsin2","23970"
"15114",0.0062466393525762,0.966243094550934,0.143957568385486,11.3918186336862,12.2995739126684,0.97243077903866,"Hap1","15114"
"328440",0.0220593215347557,0.840827532860397,0.107017947652278,12.881902195749,13.7896574747311,0.86476746346623,"Npm2","328440"
"240255",-0.116832134711824,0.0278163950279082,0.0454324938358723,-0.363780851602627,0.543974427379511,0.0453953063024568,"Ythdc2","240255"
"106512",0.212501048017275,0.00130528411255832,0.0481372905352287,-1.97998134415524,-1.0722260651731,0.00338735643278323,"Gpsm3","106512"
"13115",-0.502098232146874,0.0811817602853622,0.258913645321645,31.1268671503621,32.0346224293443,0.114683753103838,"Cyp27b1","13115"
"100503670",0.180576993296246,0.000188233601636917,0.0314703704107374,-10.5678551943318,-9.66009991534965,0.000673113124529648,"Rpl5","100503670"
"72759",0.503076126970408,0.000880192610041928,0.107714506938859,13.9118734586811,14.8196287376632,0.00244686670666606,"Tmem135","72759"
"21926",0.314443512362752,0.323620600723893,0.302868355957176,33.5188619834737,34.4266172624559,0.379138378839931,"Tnf","21926"
"54612",0.524659680143539,0.0035926775648897,0.138741118496992,0.326726797037515,1.23448207601965,0.00798438773420206,"Sfrp5","54612"
"13497",-0.19596562442276,0.000838912403932016,0.0416763502792863,-4.79460242064895,-3.88684714166681,0.00235373962438705,"Drp2","13497"
"268396",-0.162805266706662,0.0736234846191075,0.0814809532437567,10.035522620103,10.9432778990851,0.105222367707077,"Sh3pxd2b","268396"
"66211",-0.283824214710077,0.0136360182981685,0.0950096981239176,11.1350053618189,12.0427606408011,0.0245440216311374,"Rpl3l","66211"
"74230",-0.379869907662856,0.0354022272989567,0.156274151244371,22.1735171616998,23.081272440682,0.0559856707455142,"1700016K19Rik","74230"
"69228",-0.296960622901227,0.000980471327978975,0.0645599439036374,-1.96820088485383,-1.06044560587169,0.00268189049273815,"Zfp746","69228"
"210529",0.193979208003671,0.0001166882814775,0.0318336961694947,-9.16755910855666,-8.25980382957453,0.000453937011501839,"Mettl14","210529"
"108837",-0.292723432684109,0.000366068358728747,0.0556109311930696,3.26612307765073,4.17387835663287,0.00117970524872878,"Ibtk","108837"
"11979",0.490107660427034,0.012078583839089,0.160252713947192,21.4135527667024,22.3213080456845,0.0221317234416621,"Atp7b","11979"
"12035",0.340650067655106,0.289114762620101,0.304300773640874,35.4566994257666,36.3644547047487,0.343840564370108,"Bcat1","12035"
"319579",-0.315945436721393,0.00324098654458193,0.0821803472208304,11.4346135422202,12.3423688212023,0.00731837622242693,"Defb20","319579"
"14794",-0.00628277842474964,0.956680019589425,0.112802092658161,16.6769792336151,17.5847345125972,0.964009069618755,"Spsb2","14794"
"74055",-1.03675396710438,0.0720356113128636,0.515501436204432,45.0811375210943,45.9888928000764,0.103172320096693,"Plce1","74055"
"22591",-0.389040320975413,0.00322213683523429,0.101099027123791,8.6349729020808,9.54272818106293,0.00727988757340742,"Xpc","22591"
"13809",0.219908251480986,0.126641306376506,0.131981759359461,18.3220778950996,19.2298331740818,0.168869030133565,"Enpep","13809"
"11352",-0.788448334221088,5.23059001952312e-08,0.0548172619388664,-0.381405299841505,0.526349979140633,1.43960857435446e-06,"Abl2","11352"
"12972",0.438174636133528,0.00175997373837447,0.103730460957412,12.8343756966975,13.7421309756796,0.00436065565275788,"Cryz","12972"
"53317",-0.0665208928915831,0.403043446559938,0.0761819822261907,7.36658533235029,8.27434061133243,0.457483232982067,"Plrg1","53317"
"244332",-0.102942286433301,0.166840677946413,0.0690470049715588,14.6605539581394,15.5683092371216,0.214484122365829,"Defb14","244332"
"258975",-0.286466813816444,0.110701481741606,0.163706051721441,13.5203409359407,14.4280962149229,0.150229744370884,"Olfr1234","258975"
"20768",-0.249381550893261,0.000569635523686051,0.0502737755694011,-0.166358438971328,0.74139684001081,0.00171343760182076,"Sephs2","20768"
"26922",-0.286983042703524,0.00325426310426546,0.0746956121529933,7.11478945788496,8.02254473686709,0.00734424427913397,"Mecr","26922"
"15458",-0.33202004413588,0.0111832497103981,0.106981477713724,13.7962195831442,14.7039748621263,0.0207336455868741,"Hpx","15458"
"12332",0.0856655162814944,0.697462079428697,0.214084739687921,28.9082129038248,29.8159681828069,0.736409442733327,"Capg","12332"
"12951",-0.111788797648034,0.0270839311839716,0.0432099176196213,-6.15397671108365,-5.24622143210151,0.0443561835660174,"Crx","12951"
"66106",0.792851326306574,0.00231504666878296,0.195655152202647,26.5741804634539,27.481935742436,0.00550099642905062,"Smpx","66106"
"16363",-0.282021209136384,0.0544130659247572,0.129475905987127,6.17623494459647,7.08399022357861,0.0811801887258646,"Irf2","16363"
"66671",-0.304922761187012,7.3540070862469e-05,0.047279661717023,-2.53767803963085,-1.62992276064872,0.000309533355654517,"Ccnh","66671"
"12934",0.390084466405497,0.276500831863265,0.338902271108508,37.1483562129745,38.0561114919567,0.330822282615916,"Dpysl2","12934"
"17181",0.534116862369341,0.00885372263649376,0.164797697633814,22.4852669001743,23.3930221791565,0.0169846064718153,"Matn2","17181"
"74257",-0.323088310344005,0.0145250710559687,0.109507142734416,13.5731305622543,14.4808858412365,0.0259053625421189,"Tspan17","74257"
"20856",-0.706881301908746,0.0073657965607248,0.211011680713993,12.8901736998379,13.7979289788201,0.0145690591993022,"Stc2","20856"
"69051",-0.00535577025718407,0.949922633928404,0.0831669919238038,8.16090027660412,9.06865555558626,0.958157355436161,"Pycr2","69051"
"227325",0.51419774115054,0.0439424245137458,0.223161032603144,28.5071250051668,29.4148802841489,0.0674207276582779,"Dner","227325"
"14628",-0.617954384693101,1.55109037396759e-07,0.0481558796328693,-2.3317092861901,-1.42395400720796,2.86560986494378e-06,"Ostm1","14628"
"57277",-0.486282633215161,0.00332891678721909,0.127028146916257,12.1990419623349,13.106797241317,0.00748447911992959,"Slurp1","57277"
"21973",1.07856945409594,3.21057289873371e-07,0.0907879390045464,16.0792371670454,16.9869924460275,4.69784070708303e-06,"Top2a","21973"
"20514",-0.367641522532936,0.0748533075685986,0.184918296752348,23.9519141921123,24.8596694710944,0.106790836463996,"Slc1a5","20514"
"69922",-0.437330867431972,0.0027902955778619,0.111094088601407,14.9737575729642,15.8815128519463,0.00643259470120407,"Vrk2","69922"
"66109",-0.04961568035469,0.721007625118839,0.135061051602757,18.4545772411762,19.3623325201583,0.757370943712072,"Tspan13","66109"
"217674",-0.144358082765289,0.131116851789394,0.0877868347569982,7.0425994224911,7.95035470147324,0.173840804591154,"Gphb5","217674"
"77045",-0.14454748932431,0.384038405327704,0.158776191623721,21.91914547334,22.8269007523222,0.439165445366712,"Bcl7a","77045"
"228785",-0.278367000708214,0.251132013349399,0.228518757133423,29.0136599915737,29.9214152705558,0.304687035646789,"Mylk2","228785"
"17702",0.862777650453238,0.0288257241961799,0.338241654217895,36.752080806256,37.6598360852381,0.0467810187225811,"Msx2","17702"
"12527",-0.128449528277521,0.443904625973876,0.161145283796638,22.7837140907381,23.6914693697202,0.498486440136403,"Cd9","12527"
"14714",-0.378549431744774,0.000745664981850825,0.0791934786667822,10.8197702010197,11.7275254800019,0.00213720794537585,"Gnrh1","14714"
"59008",-0.083905540907089,0.205328869354383,0.0619369059815535,0.777022551467246,1.68477783044938,0.256191751456684,"Anapc5","59008"
"218624",-1.55780383925252,9.9838509511398e-06,0.191099749244836,25.38511239704,26.2928676760221,6.1296083389012e-05,"Il31ra","218624"
"81701",0.217858055290311,0.0300629636326355,0.0862373451037758,11.6471109871535,12.5548662661357,0.0485314731748295,"Egfl8","81701"
"93701",0.1022337715967,0.465356660620272,0.134692235822806,18.3679933087545,19.2757485877366,0.519826543908973,"Pcdhgb4","93701"
"114654",-0.244130707352595,0.00865287614140722,0.0750110086490098,7.79850553878497,8.70626081776711,0.0166627075409244,"Ly6g6d","114654"
"14048",0.243762298045326,0.00931482896712755,0.0759126618409513,9.91338847473565,10.8211437537178,0.0177286482118922,"Eya1","14048"
"56839",0.195386586189998,0.60382057974634,0.364675350426718,36.8524967423335,37.7602520213156,0.651348978027319,"Lgi1","56839"
"20340",-0.228684717659111,0.00342007879055455,0.0599965949175815,5.58769732602151,6.49545260500364,0.00765847028950788,"Glg1","20340"
"56079",0.281184385980385,0.104566157764127,0.157522262104196,22.178784433524,23.0865397125062,0.14300849645791,"Astn2","56079"
"66286",-0.182105569788234,0.0146895585874311,0.0618606139825433,7.5509632755669,8.45871855454904,0.0261409335980153,"Sec11c","66286"
"54638",-0.224662411782856,0.0291872323831252,0.0883278926578695,11.9771376204881,12.8848928994702,0.047262772523511,"Ccdc22","54638"
"69519",-0.214339433056104,0.0353568929787362,0.0881496314584812,10.0299898722814,10.9377451512635,0.0559212863593892,"Rwdd2a","69519"
"16875",0.0275731299970535,0.900485491460229,0.21497732273064,27.675967160376,28.5837224393582,0.916388439337333,"Lhx8","16875"
"18618",-0.231552907841401,0.00671014927548342,0.0679962042845972,7.35375315995424,8.26150843893638,0.0134280662117785,"Pemt","18618"
"19401",-0.153498710707174,0.0286085793443166,0.0600734889519742,3.61176407892283,4.51951935790497,0.0464811452549538,"Rara","19401"
"246196",-0.0204493011112902,0.840203158326276,0.0988134169162549,12.8686600947615,13.7764153737436,0.864198760638016,"Zfp277","246196"
"15551",-0.197739370227615,0.297898002578436,0.180074679875934,11.1017101113089,12.009465390291,0.353059125577195,"Htr1b","15551"
"213753",-0.442919821138188,0.000149687069456096,0.0749851853431559,7.14193297485337,8.04968825383551,0.000557171094275058,"Zfp598","213753"
"231889",-0.241884056081146,3.77185960358095e-05,0.0346164523865646,-7.46441706554778,-6.55666178656564,0.000179204055998952,"Bud31","231889"
