"","coef_T","pval_T","se_T","FDR.coef_T","coef_C","pval_C","se_C","FDR.coef_C"
"269682",-0.551118417223537,6.32133687860685e-06,0.0814231431504209,0.000446233193928451,0.189005395750946,0.78779439001867,0.615455887506732,0.902564280452235
"269702",-0.291404448702114,0.309166868119671,0.276138232599036,0.496239562567362,0.00414806945549278,0.990488356310671,0.308358413283626,0.996369421174187
"269713",-0.931738376465292,0.0252739042275297,0.372110067642397,0.102728706222234,-0.397114377272515,0.169525216826952,0.188353282148039,0.574464924265624
"269774",-0.446109981510355,0.0081806177713923,0.146488711433699,0.0482169928904631,0.70295683399763,0.0490040840720561,0.161614129004041,0.538427619969019
"269823",-1.64262456759556,0.0081272928580577,0.538819719296692,0.0479972129521837,0.881990392682036,0.658826402530385,1.71830968136716,0.834095001996546
"269831",-0.405385176693365,0.585596906521662,0.727514231347889,0.723117229647386,-0.373258070142442,0.610261120203954,0.62365574980741,0.808277779769123
"26987",0.118635064683559,0.613233503207659,0.229819496505428,0.742206201204902,-0.388236362268897,0.178160389911087,0.190307011565891,0.577338210420994
"26992",0.0841336131884867,0.510865118913024,0.124917254053167,0.665138028931042,0.193224028708028,0.295687221630307,0.137711908014825,0.633302650195564
"269951",0.391300692568899,0.191651051868611,0.286170622988974,0.371269642875567,-0.0429621754453332,0.977479508107816,1.34860024825094,0.992628342984297
"269955",-0.175025954706835,0.267212856525181,0.151886283238372,0.45353752953378,-0.240144272561543,0.482041082988465,0.280436124549765,0.733288745896385
"269966",-0.0825338142837732,0.644290361293806,0.175163295000384,0.765458994732832,-0.521404898947029,0.193207377749216,0.270000270177187,0.584849179996589
"270058",-0.434248402087875,0.00176356807830322,0.114446767542422,0.0177483498936164,-0.869299617498686,0.0450804032084865,0.191093550955645,0.538427619969019
"270066",-0.488851102531138,0.00292738213412793,0.137822237010641,0.0251050278723349,-0.397303533102183,0.0895151650398974,0.127601217563538,0.538427619969019
"270118",-0.290973550552114,0.423193331673612,0.352684982390933,0.593764129804576,0.397783142901764,0.211931087656801,0.219713448661787,0.594471911222448
"27015",-0.99217805858289,0.000112359967237878,0.191609224195337,0.00289908087881869,-0.112915553607575,0.951509155186722,1.64462855624803,0.981548645058064
"270151",-0.173156462402567,0.483778740570215,0.241158108665513,0.644277730055466,-0.162332631306896,0.815626992265889,0.611904342774784,0.918194732789687
"270163",-0.299743317673533,0.181824447318743,0.213342451068917,0.359445555366576,1.17490656118119,0.421730830170238,1.17210496194271,0.700101473839851
