"","Reprogramming","Interventions.Median_lifespan","Interventions.Max_lifespan","Interventions.CR","Interventions.GH_deficiency","Interventions.Rapamycin","Interventions.Common_liver","Aging.Brain","Aging.Muscle","Aging.Liver","Aging.All","Aging.Human","Aging.Rat","Aging.Mouse"
"67712",-0.588057959436805,0.0717760519412755,0.19765000183252,1.17919832330078,0.0461656146741349,-0.0509657643776037,0.155633385181343,0.126024870558532,0.0814692986714677,-0.277962225249619,0.0821649172453395,1.35735799363751,-0.243338541324098,0.0362767209738364
"67727",-0.687243747730152,0.0177793634235218,0.04359220441061,-0.147692175815476,0.127513759203699,-0.0318011877154853,-0.16479612820615,-0.0241507414008863,-0.019932174831836,-0.000922206379278091,-0.00644131108967684,-0.00389358611551816,-0.0547992948403947,-0.0172798869460429
"67728",-0.660579228993676,0.114817582929181,0.143347026449912,0.250367468526952,-0.0110023905446473,-0.21734628539671,-0.088035408761831,-0.0153617806053857,-0.0899987650310786,-0.0768729660504683,-0.0277185294426359,-0.701134423816976,-0.0952934181275668,-0.00990769309905717
"67731",0.11331454766111,0.0525034270824036,0.0660180016591954,0.229181193443025,0.289450234979833,0.0116050017845923,0.389247934783402,0.0975041895813933,0.0832718603269517,0.158547237505152,-0.0153640962400972,-0.0732612976280156,0.530873516888738,-0.112199378566632
"67732",-0.10786329540501,0.153871184042684,0.236860923726618,0.41938807673522,0.0902907311871044,0.394855055280653,0.171240364558092,-0.0491572737082873,-0.00893541752204398,0.201800082036193,-0.0701235578220728,-0.5211087630754,0.217318810697829,-0.0835273478345789
"67736",-0.126365433258607,-0.141678966949784,-0.197570780852341,0.127287368670165,-0.0752253186989221,0.0195807189063224,-0.0739525012388389,0.0350729377879549,-0.00271542437040968,-0.178336268883235,0.0233938806212259,0.423731432362195,-0.0686351534609343,0.00737642180522801
"67759",-0.3504300569671,-0.177623443451221,-0.466268896457966,-0.730257965747174,0.514318888780918,0.26874713990399,0.218843459172659,-0.0480379685865153,-0.0746381453784166,0.245068320130261,-0.0741677976015479,-1.05305451739155,-0.141437392684684,0.00439041650631928
"67760",0.132325131219733,-0.222695816114422,-0.265992667667569,0.314666936625627,-0.584482831759676,0.132579275075277,0.19482390120183,0.0713009491354412,0.00486183759186402,-0.0720601103128917,0.0150542901371401,0.484750139661065,-0.247192623092996,0.000483503034660925
"67763",-0.13770192252295,-0.0311904999724589,0.061367461868958,0.566906355210173,-0.241204997286522,0.0136295039769895,0.202639607075192,0.0619492492349025,-0.00852936570765995,-0.0852483786950046,0.00673081687518701,0.360114907359044,-0.0958565834678394,0.0119118141589668
"67769",0.0265620724023277,-0.0778328334564562,-0.0626641843161987,-0.195138684027488,-0.248752326812139,-0.0525773745000372,-0.116724090485806,-0.0306806361597444,0.00149859197096948,-0.230997605240418,-0.0316698274821075,-0.360199762330422,0.013899822058744,-0.0316358829739045
"67771",-0.827711628892096,-0.10655372578242,-0.0516745120108955,-0.423086246093889,0.171049518016628,0.597842567874034,0.0487536038680907,-0.1104051519587,-0.0768105660433917,0.185149355639964,-0.0798939632575802,-1.06421003864628,0.132467035287556,-0.115718420247973
"67774",-0.141824496487973,0.00854225401127681,0.0232146030296944,-0.15743673376084,-0.203682014670517,0.261109738799467,-0.126751228412751,0.00931149159305208,0.0198256173743802,-0.087947436765371,-0.00511425469476683,-0.136371305969151,0.00711186402350394,0.00354145360194837
"67781",0.325005936030511,0.0399721257950959,0.0312590614652038,-0.185627078611161,0.278210847571189,0.498496779484416,0.17955729595746,-0.0356832461180438,0.0296959324777603,-0.155533936049836,-0.0317162370304944,-0.129946079464033,-0.0965131265728828,-0.0324102196685437
"67784",-0.416916273954012,0.0286765820821212,0.101101413889074,0.0861329348516722,0.375035969139006,-0.062443717281245,0.330161895974402,0.00025234287008406,-0.0829293009586844,-0.0286848086954566,-0.0157546921670249,-0.191547400046178,-0.225118778690724,0.0272630401750906
"67785",0.348436674924771,-0.00422308367891844,-0.0136961482702923,-0.236499276648636,-0.143707003961984,0.0434291028976422,-0.236580014083675,-0.0339977806471368,0.0333292910222229,-0.0157294043629751,-0.0219918621450183,-0.281553551443246,-0.0634081782335258,0.00761557727060073
